Field=#~Integer~#~50|Field=Designator~String~Designator~107|Field=Value~String~Value~107|Field=Description~String~Description~107|Field=Manufacturer~String~Manufacturer~107|Field=Quantity~Integer~Quantity~107|Field=Comment~String~Comment~107|Field=Supplier 4~String~Supplier 4~59|Field=Supplier Part Number 4~String~Supplier Part Number 4~154|Field=Part Number~String~Part Number~100|Field=Manufacturer number~String~Manufacturer number~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~nanopower-bpx.PrjPcb|ReportField=ProjectFullPath~C:\git\Hardware\nanopower\bpx\revisions\3\nanopower-bpx.PrjPcb|ReportField=Title~EMS_BOM For Variant [Option_3_P60_(32V_8S-1P)] of Project [nanopower-bpx.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~61|ReportField=ReportTime~13:43:03|ReportField=ReportDate~18-Dec-17|ReportField=ReportDateTime~18-Dec-17 13:43:03|ReportField=OutputName~EMS_BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~Option_3_P60_(32V_8S-1P)|ReportField=Address1~Alfred Nobels Vej 21 C, 1.|ReportField=Address2~9000 Aalborg, DK|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~Tim Andersen|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~18-Dec-17|ReportField=CurrentTime~13:18:40|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\git\Hardware\nanopower\bpx\revisions\3\overview.SchDoc|ReportField=DocumentName~overview.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~Tim Andersen|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~18-Dec-17|ReportField=Organization~GomSpace ApS|ReportField=ProjectName~nanopower-bpx.PrjPcb|ReportField=Revision~3.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~Overview|ReportField=VersionControl_RevNumber~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-4:MediaType=1:DitherType=10:PaperKind=A3:PrintScaleMode=1|ReportField=DataSourceFileName~nanopower-bpx.PrjPcb|ReportField=DataSourceFullPath~C:\git\Hardware\nanopower\bpx\revisions\3\nanopower-bpx.PrjPcb
1|C1|4.7uF|CAP CER 4.7UF 50V 10% X5R 0805|TDK|1|4.7uF|Gomspace ApS|3033|10000012|CGA4J3X5R1H475K125AB
2|C3, C10, C11, C17, C18, C19, C21, Cc1, Cc2, Cm1|100nF|CAP CER 0.1UF 50V 10% X7R 0603|KEMET|10|100nF|Gomspace ApS|589|10000014|C0603C104K5RACTU
3|C4, C8, C20|10uF|CAP CER 10UF 10V 10% X7R 0805|AVX|3|10uF|Gomspace ApS|2801|10000004|0805ZC106KAT2A
4|C100|1.5nF|CAP CER 1.5nF 50V 10% X7R 0603|KEMET|1|1.5nF|Gomspace ApS|754|10000016|C0603C152K5RACTU
5|D1|CDBU0240|DIODE SCHOTTKY 40V 200MA 0603|Comchip Technology|1|CDBU0240|Gomspace ApS|521|20000000|CDBU0240
6|L3|10uH|FIXED IND 10UH 140MA 2.1 OHM SMD|Bourns Inc|1|10uH|Gomspace ApS|3300|30000001|CM322522-100KL
7|P1|53261-0971|CONN HEADER 9POS 1.25MM R/A SMD|Molex|1|53261-0971|Gomspace ApS|3142|12000007|53261-0971
8|P2|53261-0871|CONN HEADER 8POS 1.25MM R/A SMD|Molex|1|53261-0871|Gomspace ApS|348|12000008|53261-0871
9|PBAT1, PBAT2|M80|7+7 WAY M HORIZ BM SMT W/3.5MM|Harwin|2|M80|Gomspace ApS|1456|12000004|M80-5421442
10|PGND1|M80|4+4 WAY M HORIZ BM SMT W/3.5MM|Harwin|1|M80|Gomspace ApS|2736|12000009|M80-5430805
11|Q4|BSC067N06LS3|MOSFET N-CH 60V 50A TDSON-8|Infineon Technologies|1|BSC067N06LS3|Gomspace ApS|1837|70000000|BSC067N06LS3 G
12|Q201, Qks|FDN5618P|MOSFET P-CH 60V 1.25A SSOT3|Fairchild|2|FDN5618P|Gomspace ApS|548|70000003|FDN5618P
13|Qh1|MMBF170|MOSFET N-CH 60V 500MA SOT-23|Fairchild|1|MMBF170|Gomspace ApS|1841|70000004|MMBF170
14|Qh2|SI7461|MOSFET P-CH 60V 8.6A PPAK SO-8|vishay|1|P-FET_PowerPAK|Gomspace ApS|1840|70000001|SI7461DP-T1-GE3
15|Qscl, Qsda|BSN20BK||NXP|2|BSN20BK|Gomspace ApS|4458|70000011|BSN20BK
16|R2|10R|RES SMD 10 OHM 1% 1/10W 0603|Yageo|1|10R|Gomspace ApS|401|40603024|RC0603FR-0710RL
17|R3, R100|0R|RES SMD 0.0 OHM JUMPER 1/10W 0603|Yageo|2|0R|Gomspace ApS|405|40603000|RC0603FR-070RL
